company_id,lat,lng
33143,25.7303942,-80.236066
26625,25.7752306,-80.1783085
18703,25.7769431,-80.3703976
2130282,26.085871,-80.3696058
1650173,26.1227754,-80.143137
6959,26.2039173,-80.1539354
27160,26.4197491,-80.0960051
12407,26.8596034,-80.0593728
27403,27.1917645,-80.2516853
26544,27.3837107,-82.4317818
14355,28.0907781,-80.6385483
8697,28.418282,-81.4250584
2300956,29.1978199,-81.0842615
32237,29.5860851,-98.6054062
30468,29.6159513,-98.4589557
22899,29.7306593,-95.431783
5599,29.7321329,-95.4354433
5272,29.7327747,-95.4325967
946406,29.7403262,-95.4731118
1813482,29.740913,-95.5609075
1714749,29.742627,-95.5592896
2307,29.744689,-95.4616265
27242,29.749034,-95.473152
8304,29.7546993,-95.48327
33114,29.7557923,-95.3639415
6271,29.7571169,-95.3679888
10762,29.7575783,-95.3688473
1687673,29.7578446,-95.3673942
10844,29.7588117,-95.3706871
29837,29.7589177,-95.6201065
6592,29.7601109,-95.365608
24355,29.7827834,-95.6184554
1795035,29.7845869,-95.7896594
14212,29.937706,-95.3404606
22312,29.9948551,-95.5812153
30483,30.1242079,-95.4436303
2138,30.1604921,-95.4540554
1912843,30.1604921,-95.4540554
2932362,30.2508065,-97.861761
6382,30.3184009,-81.6762696
8383,30.3245211,-81.6640579
2519758,30.4883856,-97.6704209
10267,31.759098,-106.4854862
1895607,31.9988675,-102.0806785
538004,31.9998809,-102.0809697
9938,32.4394936,-90.1491781
1017,32.4672389,-84.9637973
30993,32.4749904,-84.9924032
6353,32.5895496,-92.0669497
27588,32.7099151,-117.1576582
9582,32.7608129,-97.090469
17913,32.7766642,-96.7969879
27163,32.7795597,-96.7988939
2607907,32.7816486,-96.796842
14955,32.7944197,-96.8080977
820219,32.8614286,-96.8070119
2364266,32.867051,-96.7690409
1889915,32.8703348,-96.7693915
15581,32.8708716,-117.1990312
55772,32.8711019,-96.9434437
28696,32.8715736,-96.760749
11430,32.8900057,-96.9499086
25529,32.8954289,-117.1959779
2655941,32.8984571,-96.9641197
373917,32.9070685,-117.1859372
30509,32.9110152,-96.7523904
2344669,32.9233133,-96.8172642
25864,32.9375327,-117.2366546
7852,32.9390113,-96.8226646
2534641,33.336607,-111.897189
15462,33.4513733,-117.602684
12493,33.4517282,-112.073067
32979,33.482953,-86.704047
660184,33.483098,-86.705593
29256,33.5170845,-112.0504781
2232357,33.6172584,-111.9050735
82918,33.6183291,-117.8724881
122367,33.6506498,-117.7517227
26097,33.654396,-111.9301716
14483,33.6841151,-117.8526637
10156,33.6984047,-117.8517225
1645838,33.7019896,-117.8601399
8946,33.7489954,-84.3879824
7204,33.7542763,-84.3818443
29586,33.7627649,-84.3864991
28665,33.764322,-84.3882896
10896,33.7966512,-84.3884949
2129,33.797492,-84.3895717
25407,33.8476821,-84.3681861
14982,33.8488985,-84.432564
13417,33.8517433,-84.3675947
493545,33.8528357,-84.3640196
1961459,33.8784793,-84.4538673
14301,33.8866879,-117.5132312
1070384,33.9081754,-84.4362621
815224,33.9093776,-84.4311343
13020,33.9190712,-118.3952696
32137,33.9431979,-84.3602082
2625560,34.0163303,-118.4535089
725,34.0196137,-118.4525618
1966849,34.0497525,-118.4593418
10130,34.0539466,-118.0808098
3010375,34.0551746,-118.4132525
2163304,34.086981,-84.272542
23131,34.138352,-118.7061768
1354,34.1460377,-118.1419666
33048,34.1568097,-118.3250894
3210,34.1570641,-118.2563626
25380,34.1664274,-118.2955073
2068,34.192136,-118.919477
30261,34.1974847,-118.9054586
2527967,34.2814477,-119.2913175
8867,34.4287369,-119.8629881
480535,34.8798997,-83.9578058
11664,35.10565,-89.8583139
233,35.1439702,-90.0509598
867887,35.2240674,-80.8485596
15029,35.2256085,-80.8457662
4504,35.2273417,-80.8419168
22981,35.4707055,-97.5180825
6608,35.5346475,-97.5289018
19193,35.541958,-80.8539024
25895,35.7753406,-78.6379293
8220,35.8994783,-78.8423838
3718,36.0956772,-80.245157
1796209,36.1165658,-115.1752403
32574,36.1221552,-79.7989009
603630,36.1229174,-115.1685253
136226,36.1271069,-115.1648303
23165,36.1505651,-95.9916855
1692837,36.1536774,-86.8138175
1655179,36.1549585,-95.9905196
33512,36.1549585,-95.9905196
2524562,36.1626255,-86.7762776
12897,36.1929452,-86.6881325
1605214,36.3090261,-86.699065
33046,36.3652654,-94.2176381
9474,36.7681471,-76.2426183
22412,36.8456104,-76.2885781
23350,37.2076592,-93.2492485
93427,37.2593139,-121.9619835
9989,37.2951452,-121.9261113
1060,37.3248865,-121.9989378
808,37.3303074,-121.8941558
2355,37.3327177,-122.0053293
22806,37.37035,-121.9672107
16627,37.372939,-122.003967
1830138,37.3759167,-121.9626911
2308850,37.3768507,-121.9227332
2382,37.3776247,-121.9787818
881,37.3829254,-121.9703842
817439,37.3861354,-121.9003283
2924705,37.3865645,-122.0841761
16239,37.3875909,-121.9637869
1650150,37.3948376,-122.1503889
5480,37.3960629,-121.9195328
29774,37.397614,-122.0539239
6908,37.4083615,-121.9541545
14722,37.4120244,-122.1483485
116351,37.4215785,-122.0837816
16626,37.4306146,-122.0960646
1820060,37.482495,-122.147995
18384,37.488472,-121.9574428
1988598,37.5109,-122.306596
10364,37.5232799,-122.2541417
10899,37.527412,-122.26131
23295,37.5307052,-122.26242
9491,37.5339758,-77.4517422
2804837,37.5404051,-122.2989933
13273,37.5670009,-122.281649
24343,37.6006628,-77.5167315
